DBN,District,School,SAT Score,SAT Test Takers,Percent AP Test Takers,Percent AP Tests Taken,Total Enrollment,Class Size,Percent Male,Percent White,Percent Black,Percent Hispanic,Percent Asian,Percent ELL,Teacher Safety,Student Safety,Lat,Lon
12X248,12,"METROPOLITAN HIGH SCHOOL, THE",1055,49,7.4,7.4,339,23.3,54.0,0.9,24.2,72.9,1.8,21.8,7.4,6.8,40.8252,-73.8939
12X251,12,EXPLORATIONS ACADEMY,1122,57,35.6,54.4,362,21.2,50.8,1.4,31.2,65.5,1.7,19.9,6.5,6.9,40.8359,-73.8905
12X267,12,BRONX LATIN,1251,36,30.9,47.1,418,21.7,49.8,1.0,25.6,73.2,0.2,13.6,7.9,8.5,40.8278,-73.9004
12X271,12,EAST BRONX ACADEMY FOR THE FUTURE,1102,46,5.2,6.0,619,27.0,53.0,0.2,29.4,68.3,1.9,11.6,7.3,6.8,40.836999999999996,-73.888
12X278,12,PEACE AND DIVERSITY ACADEMY,1155,34,3.5,3.5,231,21.0,45.0,0.9,43.7,53.7,1.7,13.9,6.5,8.6,40.8252,-73.8939
12X388,12,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,970,30,31.8,48.5,406,15.4,51.5,0.0,0.0,99.8,0.0,92.9,6.7,6.8,40.8314,-73.8788
12X478,12,THE CINEMA SCHOOL,1223,s,57.8,88.3,223,22.7,40.8,1.8,28.7,65.0,4.5,4.0,9.0,7.5,40.8314,-73.8783
12X479,12,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,1223,s,52.9,80.7,244,21.9,44.3,0.4,37.3,59.8,2.5,16.8,6.5,6.5,40.8278,-73.9004
12X550,12,HIGH SCHOOL OF WORLD CULTURES,939,42,35.0,53.4,369,23.2,52.0,0.5,10.8,84.6,2.4,86.4,7.5,7.8,40.8314,-73.8788
12X682,12,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,1029,72,27.0,41.3,477,22.5,54.1,0.2,30.6,68.8,0.2,11.5,8.5,6.6,40.8308,-73.88600000000001
12X684,12,WINGS ACADEMY,1114,66,3.7,5.0,538,24.5,53.7,1.3,55.0,42.2,1.3,4.5,6.2,5.9,40.8418,-73.8754
12X692,12,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,1038,43,27.7,42.3,466,22.2,52.6,1.3,20.4,77.5,0.9,28.8,7.2,6.7,40.8314,-73.8788
13K265,13,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,1074,29,3.8,5.0,443,21.4,37.0,1.8,72.0,24.6,0.5,4.3,7.4,6.1,40.6963,-73.9758
13K350,13,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,1080,52,29.9,45.7,431,22.2,42.7,0.9,73.3,22.7,1.9,4.6,6.6,6.5,40.6972,-73.985
13K412,13,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",1114,37,4.5,4.5,462,25.2,45.5,1.3,79.2,17.1,0.6,2.4,6.7,6.1,40.6926,-73.9589
13K419,13,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",1211,92,10.1,11.4,517,27.2,56.1,2.1,77.8,12.2,7.2,7.0,7.0,6.0,40.6972,-73.985
13K430,13,BROOKLYN TECHNICAL HIGH SCHOOL,1833,1277,39.7,69.2,5332,32.5,58.3,21.3,10.2,7.9,60.3,0.1,7.8,7.0,40.6881,-73.9767
13K439,13,BROOKLYN INTERNATIONAL HIGH SCHOOL,981,90,35.1,53.7,367,19.6,48.2,8.7,20.2,28.6,42.5,83.1,8.6,7.9,40.6972,-73.985
13K483,13,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,1206,105,6.9,12.7,450,22.2,39.6,1.1,79.1,17.1,0.9,0.9,7.3,6.8,40.6946,-73.9886
